package,description
genius,Easily Access Song Lyrics from Genius.com
geniusr,Tools for Working with the 'Genius' API
GenKern,Functions for generating and manipulating binned kernel density estimates
genlasso,Path Algorithm for Generalized Lasso Problems
GENLIB,Genealogical Data Analysis
genlogis,Generalized Logistic Distribution
GENMETA,Implements Generalized Meta-Analysis Using Iterated Reweighted Least Squares Algorithm
geno2proteo,Finding the DNA and Protein Sequences of Any Genomic or Proteomic Loci
genodds,Generalized Odds Ratios
genogeographer,Methods for Analysing Forensic Ancestry Informative Markers
GenomeAdmixR,Simulate Admixture of Genomes
genomeplot,'Plot genome wide values for all chromosomes'
genomic.autocorr,Models Dealing with Spatial Dependency in Genomic Data
GenomicMating,Efficient Breeding by Genomic Mating
genomicper,Circular Genomic Permutation using Gwas p-Values of Association
GenomicTools,Collection of Tools for Genomic Data Analysis
GenomicTools.fileHandler,File Handlers for Genomic Data Analysis
genoPlotR,Plot Publication-Grade Gene and Genome Maps
GenOrd,Simulation of Discrete Random Variables with Given Correlation Matrix and Marginal Distributions
GenoScan,A Genome-Wide Scan Statistic Framework for Whole-Genome Sequence Data Analysis
genotypeR,SNP Genotype Marker Design and Analysis
genpathmox,Generalized Pathmox Approach Segmentation Tree Analysis
genpwr,Power Calculations Under Genetic Model Misspecification
genridge,Generalized Ridge Trace Plots for Ridge Regression
GenSA,Generalized Simulated Annealing
genscore,Generalized Score Matching Estimators
genset,Generates Data Sets for Class Demonstrations
gensphere,Generalized Spherical Distributions
genSurv,Generating Multi-State Survival Data
gensvm,A Generalized Multiclass Support Vector Machine
GenTag,Generate Color Tag Sequences
genTS,R Shiny App for Creating Simplified Trial Summary (TS) Domain
GenWin,Spline Based Window Boundaries for Genomic Analyses
geoBayes,Analysis of Geostatistical Data using Bayes and Empirical Bayes Methods
GeoBoxplot,Geographic Box Plot
geobr,Loads Shapefiles of Official Spatial Data Sets of Brazil
geocacheR,Tools for Geocaching
geodaData,Spatial Analysis Datasets for Teaching
GeoDE,A geometrical Approach to Differential expression and gene-set enrichment
geodetector,"Stratified Heterogeneity Measure, Dominant Driving Force Detection, Interaction Relationship Investigation"
geodimension,Definition of Geographic Dimensions
geodist,"Fast, Dependency-Free Geodesic Distance Calculations"
geodiv,Methods for Calculating Gradient Surface Metrics
geodrawr,Making Geospatial Objects
GeodRegr,Geodesic Regression
geoelectrics,3D-Visualization of Geoelectric Resistivity Measurement Profiles
geofabrik,Downloading Open Street Map Data
geofacet,'ggplot2' Faceting Utilities for Geographical Data
geofd,Spatial Prediction for Function Value Data
geofi,Access Finnish Geospatial Data
geoFKF,Kriging Method for Spatial Functional Data
geoGAM,Select Sparse Geoadditive Models for Spatial Prediction
geogenr,Geomultistar Generator from American Community Survey (ACS) Geodatabases
geogrid,Turn Geospatial Polygons into Regular or Hexagonal Grids
geohashTools,Tools for Working with Geohashes
geojson,Classes for 'GeoJSON'
geojsonio,Convert Data from and to 'GeoJSON' or 'TopoJSON'
geojsonlint,Tools for Validating 'GeoJSON'
geojsonR,A GeoJson Processing Toolkit
geojsonsf,GeoJSON to Simple Feature Converter
geoknife,Web-Processing of Large Gridded Datasets
GeoLight,Analysis of Light Based Geolocator Data
GEOmap,Topographic and Geologic Mapping
geomapdata,Data for topographic and Geologic Mapping
GeomComb,(Geometric) Forecast Combination Methods
geomedb,Functions for Fetching 'GeOMe-db' Data
geomerge,Geospatial Data Integration
geometa,Tools for Reading and Writing ISO/OGC Geographic Metadata
geometr,Generate and Modify Interoperable Geometric Shapes
geometries,Convert Between R Objects and Geometric Structures
geometry,Mesh Generation and Surface Tessellation
geomnet,Network Visualization in the 'ggplot2' Framework
GeoMongo,Geospatial Queries Using 'PyMongo'
geomorph,Geometric Morphometric Analyses of 2D/3D Landmark Data
geomultistar,Multidimensional Queries Enriched with Geographic Data
geonames,"Interface to the ""Geonames"" Spatial Query Web Service"
geonapi,'GeoNetwork' API R Interface
geonetwork,Geographic Networks
geophys,"Geophysics, Continuum Mechanics, Gravity Modeling"
geoR,Analysis of Geostatistical Data
GeoRange,Calculating Geographic Range from Occurrence Data
georob,Robust Geostatistical Analysis of Spatial Data
geos,Open Source Geometry Engine ('GEOS') R API
geosapi,GeoServer REST API R Interface
geoscale,Geological Time Scale Plotting
geosed,Smallest Enclosing Disc for Latitude and Longitude Points
geospark,Bring Local Sf to Spark
geoSpectral,Classes and Methods for Working with Spectral Data with Space-Time Attributes
geosphere,Spherical Trigonometry
geospt,Geostatistical Analysis and Design of Optimal Spatial Sampling Networks
geosptdb,Spatio-Temporal; Inverse Distance Weighting and Radial Basis Functions with Distance-Based Regression
geostats,An Introduction to Statistics for Geoscientists
geostatsp,Geostatistical Modelling with Likelihood and Bayes
GeoTcgaData,Processing various types of data on GEO and TCGA
geotech,Geotechnical Engineering
geotools,Geo tools
geotoolsR,Tools to Improve the Use of Geostatistic
geotopbricks,An R Plug-in for the Distributed Hydrological Model GEOtop
geoTS,Methods for Handling and Analyzing Time Series of Satellite Images
geouy,Geographic Information of Uruguay
geoviz,Elevation and GPS Data Visualisation
geozoo,Zoo of Geometric Objects
gepaf,Google Encoded Polyline Algorithm Format
gerbil,Generalized Efficient Regression-Based Imputation with Latent Processes
GermaParl,Download and Augment the Corpus of Plenary Protocols of the German Bundestag
GerminaR,Indices and Graphics for Assess Seed Germination Process
germinationmetrics,Seed Germination Indices and Curve Fitting
gert,Simple Git Client for R
gesca,Generalized Structured Component Analysis (GSCA)
GESE,Gene-Based Segregation Test
gesisdata,Reproducible Data Retrieval from the GESIS Data Archive
gestalt,Tools for Making and Combining Functions
gestate,Generalised Survival Trial Assessment Tool Environment
GESTr,Gene Expression State Transformation
gesttools,General Purpose G-Estimation for End of Study or Time-Varying Outcomes
GET,Global Envelopes
getable,"Fetching Tabular Data ""Onload"" in Compiled R Markdown HTML Documents"
GetBCBData,Imports Datasets from BCB (Central Bank of Brazil) using Its Official API
getCRUCLdata,'CRU' 'CL' v. 2.0 Climatology Client
GetDFPData,"Reading Annual Financial Reports from Bovespa's DFP, FRE and FCA System"
GetDFPData2,Reading Annual and Quarterly Financial Reports from B3
getDTeval,Translating Coding Statements using get() and eval() for Improved Run-Time Coding Efficiency
GetFREData,Reading FRE Corporate Data of Public Traded Companies from B3
gethr,Access to Ethereum-Based Blockchains Through Geth Nodes
getlandsat,Get Landsat 8 Data from Amazon Public Data Sets
GetLattesData,Reading Bibliometric Data from Lattes Platform
getMet,Get Meteorological Data for Hydrologic Models
getmstatistic,Quantifying Systematic Heterogeneity in Meta-Analysis
getopt,C-Like 'getopt' Behavior
GetoptLong,Parsing Command-Line Arguments and Simple Variable Interpolation
getPass,Masked User Input
getProxy,Get Free Proxy IP and Port
GetQuandlData,Fast and Cached Import of Data from 'Quandl' Using the 'json API'
GetR,GetR: Calculate Guttman error trees in R
gets,General-to-Specific (GETS) Modelling and Indicator Saturation Methods
getspres,SPRE Statistics for Exploring Heterogeneity in Meta-Analysis
GetTDData,Get Data for Brazilian Bonds (Tesouro Direto)
gettz,Get the Timezone Information
GEVACO,Joint Test of Gene and GxE Interactions via Varying Coefficients
GEVcdn,GEV Conditional Density Estimation Network
GExMap,"A visual, intuitive, easy to use software giving access to a new type of information buried into your microarray data"
gexp,Generator of Experiments
geysertimes,Geyser Data from GeyserTimes.org
GFA,Group Factor Analysis
gfboost,Gradient-Free Gradient Boosting
gfcanalysis,Tools for Working with Hansen et al. Global Forest Change Dataset
GFD,Tests for General Factorial Designs
GFE,Gross Flows Estimation under Complex Surveys
gfer,Green Finance and Environmental Risk
GFGM.copula,Generalized Farlie-Gumbel-Morgenstern Copula
gfiExtremes,Generalized Fiducial Inference for Extremes
gfilinreg,Generalized Fiducial Inference for Low-Dimensional Robust Linear Regression
gfilmm,Generalized Fiducial Inference for Normal Linear Mixed Models
gfilogisreg,Generalized Fiducial Inference for Binary Logistic Regression Models
GFisher,Generalized Fisher's Combination Tests Under Dependence
gfiUltra,Generalized Fiducial Inference for Ultrahigh-Dimensional Regression
gfmR,Implements Group Fused Multinomial Regression
gfonts,Offline 'Google' Fonts for 'Markdown' and 'Shiny'
gfoRmula,Parametric G-Formula
gfpop,Graph-Constrained Functional Pruning Optimal Partitioning
gg.gap,Define Segments in y-Axis for 'ggplot2'
ggallin,Grab Bag of 'ggplot2' Functions
ggalluvial,Alluvial Plots in 'ggplot2'
GGally,Extension to 'ggplot2'
ggalt,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'"
ggamma,Generalized Gamma Probability Distribution
gganimate,A Grammar of Animated Graphics
ggasym,Asymmetric Matrix Plotting in 'ggplot2'
ggbeeswarm,Categorical Scatter (Violin Point) Plots
ggBubbles,Mini Bubble Plots for Comparison of Discrete Data with 'ggplot2'
ggbuildr,Save Incremental Builds of Plots
ggbump,Bump Chart and Sigmoid Curves
ggcharts,Shorten the Distance from Data Visualization Idea to Actual Plot
ggChernoff,Chernoff Faces for 'ggplot2'
GGClassification,Gabriel Graph Based Large-Margin Classifiers
ggconf,Simpler Appearance Modification of 'ggplot2'
ggcorrplot,Visualization of a Correlation Matrix using 'ggplot2'
ggdag,Analyze and Create Elegant Directed Acyclic Graphs
ggdark,Dark Mode for 'ggplot2' Themes
ggDCA,Calculate and Plot Decision Curve
ggdemetra,'ggplot2' Extension for Seasonal and Trading Day Adjustment with 'RJDemetra'
ggdendro,Create Dendrograms and Tree Diagrams Using 'ggplot2'
ggdist,Visualizations of Distributions and Uncertainty
ggdmc,Cognitive Models
gge,Genotype Plus Genotype-by-Environment Biplots
ggeasy,Easy Access to 'ggplot2' Commands
GGEBiplotGUI,Interactive GGE Biplots in R
GGEBiplots,GGE Biplots with 'ggplot2'
ggedit,Interactive 'ggplot2' Layer and Theme Aesthetic Editor
ggeffects,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs
ggenealogy,Visualization Tools for Genealogical Data
ggetho,Visualisation of High-Throughput Behavioural (i.e. Ethomics) Data
ggExtra,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements"
ggfan,Summarise a Distribution Through Coloured Intervals
ggfittext,Fit Text Inside a Box in 'ggplot2'
ggfocus,Scales that Focus Specific Levels in your ggplot()
ggforce,Accelerating 'ggplot2'
ggformula,Formula Interface to the Grammar of Graphics
ggfortify,Data Visualization Tools for Statistical Analysis Results
ggfx,Pixel Filters for 'ggplot2' and 'grid'
gggap,Streamlined Creation of Segments on the Y-Axis of 'ggplot2' Plots
gggenes,Draw Gene Arrow Maps in 'ggplot2'
ggghost,Capture the Spirit of Your 'ggplot2' Calls
gggibbous,"Moon Charts, a Pie Chart Alternative"
ggguitar,Utilities for Creating Guitar Tablature
ggh4x,Hacks for 'ggplot2'
gghalfnorm,Create a Half Normal Plot Using 'ggplot2'
gghalves,Compose Half-Half Plots Using Your Favourite Geoms
gghighlight,Highlight Lines and Points in 'ggplot2'
gghilbertstrings,A Fast 'ggplot2'-Based Implementation of Hilbert Curves
ggimage,Use Image in 'ggplot2'
ggimg,Graphics Layers for Plotting Image Data with 'ggplot2'
gginference,Visualise the Results of Inferential Statistics using 'ggplot2'
gginnards,Explore the Innards of 'ggplot2' Objects
ggip,Data Visualization for IP Addresses and Networks
GGIR,Raw Accelerometer Data Analysis
ggiraph,Make 'ggplot2' Graphics Interactive
ggiraphExtra,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph'
ggjoy,Joyplots in 'ggplot2'
gglasso,Group Lasso Penalized Learning Using a Unified BMD Algorithm
gglm,Grammar of Graphics for Linear Model Diagnostic Plots
gglogo,Geom for Logo Sequence Plots
ggloop,Create 'ggplot2' Plots in a Loop
gglorenz,Plotting Lorenz Curve with the Blessing of 'ggplot2'
ggm,Graphical Markov Models with Mixed Graphs
ggmap,Spatial Visualization with ggplot2
ggmcmc,Tools for Analyzing MCMC Simulations from Bayesian Inference
GGMncv,Gaussian Graphical Models with Nonconvex Regularization
GGMnonreg,Non-Regularized Gaussian Graphical Models
ggmosaic,Mosaic Plots in the 'ggplot2' Framework
ggmr,Generalized Gauss Markov Regression
GGMridge,Gaussian Graphical Models Using Ridge Penalty Followed by Thresholding and Reestimation
ggmsa,Plot Multiple Sequence Alignment using 'ggplot2'
GGMselect,Gaussian Graphs Models Selection
ggmuller,Create Muller Plots of Evolutionary Dynamics
ggmulti,High Dimensional Data Visualization
ggnetwork,Geometries to Plot Networks with 'ggplot2'
ggnewscale,Multiple Fill and Colour Scales in 'ggplot2'
ggnormalviolin,A 'ggplot2' Extension to Make Normal Violin Plots
ggnuplot,Make 'ggplot2' Look Like 'gnuplot'
ggOceanMaps,Plot Data on Oceanographic Maps using 'ggplot2'
ggpacman,A 'ggplot2' and 'gganimate' Version of Pac-Man
ggpage,Creates Page Layout Visualizations
